iter	Passed	Remaining
131	28846	123906
132	29061	123676
133	29280	123459
134	29472	123131
135	29687	122897
136	29905	122677
137	30106	122388
138	30313	122125
139	30511	121830
140	30704	121510
141	30919	121282
142	31128	121032
143	31308	120666
144	31499	120348
145	31703	120080
146	31921	119867
147	32165	119751
148	32382	119530
149	32617	119380
150	32881	119331
151	33108	119145
152	33312	118879
153	33536	118683
154	33752	118461
155	33958	118203
156	34170	117965
157	34387	117745
158	34634	117626
159	34857	117424
160	35075	117210
161	35304	117027
162	35502	116744
163	35738	116586
164	35968	116405
165	36177	116160
166	36424	116033
167	36671	115906
168	36961	115913
169	37201	115761
170	37429	115570
171	37674	115433
172	37898	115227
173	38126	115037
174	38352	114836
175	38555	114570
176	38772	114345
177	38993	114132
178	39218	113929
179	39424	113672
180	39620	113387
181	39844	113185
182	40067	112976
183	40294	112780
184	40509	112549
185	40748	112386
186	40958	112142
187	41166	111893
188	41401	111718
189	41648	111573
190	41879	111385
191	42108	111191
192	42348	111026
193	42555	110776
194	42820	110674
195	43131	110689
196	43386	110558
197	43649	110447
198	43941	110405
199	44225	110341
200	44465	110168
201	44754	110112
202	45039	110046
203	45428	110230
204	45701	110129
205	46002	110093
206	46233	109887
207	46440	109625
208	46674	109429
209	46894	109196
210	47117	108972
211	47333	108732
212	47522	108431
213	47738	108191
214	47920	107877
215	48118	107597
216	48329	107349
217	48555	107134
218	48753	106856
219	48976	106635
220	49184	106380
221	49382	106105
222	49576	105823
223	49784	105568
224	49999	105332
225	50192	105049
226	50391	104779
227	50601	104531
228	50820	104303
229	51032	104061
230	51240	103811
231	51451	103568
232	51664	103329
233	51889	103113
234	52117	102903
235	52297	102599
236	52484	102312
237	52713	102104
238	52933	101879
239	53163	101675
240	53401	101484
241	53617	101252
242	53873	101095
243	54082	100850
244	54286	100596
245	54490	100342
246	54704	100106
247	54919	99873
248	55135	99642
249	55376	99456
250	55588	99217
251	55804	98985
252	55996	98713
253	56208	98474
254	56418	98234
255	56621	97982
256	56832	97743
257	57081	97569
258	57265	97285
259	57460	97020
260	57720	96864
261	57931	96625
262	58140	96384
263	58345	96137
264	58591	95957
265	58847	95793
266	59112	95643
267	59363	95469
268	59614	95294
269	59884	95150
270	60156	95007
271	60384	94794
272	60619	94593
273	60851	94386
274	61082	94178
275	61338	94007
276	61546	93764
277	61766	93538
278	61983	93309
279	62228	93120
280	62482	92946
281	62702	92719
282	62918	92487
283	63196	92347
284	63505	92249
285	63799	92129
286	64075	91982
287	64332	91808
288	64616	91669
289	64885	91510
290	65132	91320
291	65382	91132
292	65632	90944
293	65879	90752
294	66116	90546
295	66347	90331
296	66562	90094
297	66771	89849
298	66977	89602
299	67197	89373
300	67435	89167
301	67647	88927
302	67884	88720
303	68092	88475
304	68302	88233
305	68516	87997
306	68752	87788
307	68982	87571
308	69214	87358
309	69447	87145
310	69660	86907
311	69883	86682
312	70092	86439
313	70298	86193
314	70496	85938
315	70708	85700
316	70944	85491
317	71150	85245
318	71363	85009
319	71585	84783
320	71786	84533
321	72010	84310
322	72225	84076
323	72448	83852
324	72672	83628
325	72911	83423
326	73118	83181
327	73338	82953
328	73556	82723
329	73768	82486
330	74022	82297
331	74257	82086
332	74494	81876
333	74742	81679
334	74941	81428
335	75135	81172
336	75351	80941
337	75602	80746
338	75824	80521
339	76025	80273
340	76263	80065
341	76470	79824
342	76680	79586
343	76862	79320
344	77080	79090
345	77287	78851
346	77483	78600
347	77684	78353
348	77911	78135
349	78105	77882
350	78307	77637
351	78507	77391
352	78711	77150
353	78925	76918
354	79115	76663
355	79326	76430
356	79539	76197
357	79762	75975
358	79982	75749
359	80273	75590
360	80543	75411
361	80839	75256
362	81063	75034
363	81343	74862
364	81579	74651
365	81838	74459
366	82058	74232
367	82294	74020
368	82533	73810
369	82821	73643
370	83075	73446
371	83351	73268
372	83606	73071
373	83901	72909
374	84238	72782
375	84487	72578
376	84701	72344
377	84977	72163
378	85277	72001
379	85523	71794
380	85789	71603
381	86067	71422
382	86332	71230
383	86594	71034
384	86854	70836
385	87075	70607
386	87287	70371
387	87503	70138
388	87741	69922
389	87963	69693
390	88173	69456
391	88390	69224
392	88621	69002
393	88829	68763
394	89045	68531
395	89277	68310
396	89536	68110
397	89831	67938
398	90071	67722
399	90276	67481
400	90496	67251
401	90719	67024
402	90910	66772
403	91131	66544
404	91355	66317
405	91576	66088
406	91775	65843
407	91995	65614
408	92241	65403
409	92455	65169
410	92688	64949
411	92938	64741
412	93162	64514
413	93383	64285
414	93614	64063
415	93830	63831
416	94044	63598
417	94247	63357
418	94442	63111
419	94640	62868
420	94834	62622
421	95039	62383
422	95251	62150
423	95444	61904
424	95653	61668
425	95867	61436
426	96060	61190
427	96255	60946
428	96477	60720
429	96707	60498
430	96920	60266
431	97125	60029
432	97317	59783
433	97527	59550
434	97728	59310
435	97929	59072
436	98124	58829
437	98347	58604
438	98547	58365
439	98753	58129
440	98958	57894
441	99159	57656
442	99371	57424
443	99566	57183
444	99751	56936
445	99956	56702
446	100155	56463
447	100356	56226
448	100555	55988
449	100775	55762
450	100974	55525
451	101166	55283
452	101356	55041
453	101568	54811
454	101808	54596
455	102009	54360
456	102215	54127
457	102435	53901
458	102635	53665
459	102836	53430
460	103036	53194
461	103218	52949
462	103426	52718
463	103635	52487
464	103857	52263
465	104079	52039
466	104289	51809
467	104495	51578
468	104719	51355
469	104920	51120
470	105124	50888
471	105321	50652
472	105514	50414
473	105752	50198
474	105995	49985
475	106169	49739
476	106326	49485
477	106533	49254
478	106695	49004
479	106855	48752
480	107015	48501
481	107181	48253
482	107364	48014
483	107553	47776
484	107750	47543
485	107948	47310
486	108146	47078
487	108352	46849
488	108533	46609
489	108732	46377
490	108942	46150
491	109137	45917
492	109338	45687
493	109526	45451
494	109741	45226
495	109918	44986
496	110094	44746
497	110299	44518
498	110505	44290
499	110706	44061
500	110898	43828
501	111099	43598
502	111280	43361
503	111475	43130
504	111675	42901
505	111892	42678
506	112090	42448
507	112283	42216
508	112486	41989
509	112679	41757
510	112884	41531
511	113092	41305
512	113286	41074
513	113484	40845
514	113696	40621
515	113876	40386
516	114088	40162
517	114277	39930
518	114486	39706
519	114686	39478
520	114896	39254
521	115100	39028
522	115300	38800
523	115496	38572
524	115692	38343
525	115878	38111
526	116063	37880
527	116265	37654
528	116485	37433
529	116699	37211
530	116915	36990
531	117104	36760
532	117289	36529
533	117487	36302
534	117674	36072
535	117889	35850
536	118104	35629
537	118316	35406
538	118511	35179
539	118737	34961
540	118927	34732
541	119133	34509
542	119354	34289
543	119546	34061
544	119739	33834
545	119941	33609
546	120129	33381
547	120316	33152
548	120515	32927
549	120729	32706
550	120929	32481
551	121081	32244
552	121274	32018
553	121460	31790
554	121673	31569
555	121868	31343
556	122086	31124
557	122311	30906
558	122506	30681
559	122741	30466
560	122964	30248
561	123169	30025
562	123384	29805
563	123571	29578
564	123784	29357
565	124004	29138
566	124247	28925
567	124455	28703
568	124684	28486
569	124916	28270
570	125140	28052
571	125350	27831
572	125557	27609
573	125791	27393
574	126008	27173
575	126222	26953
576	126430	26732
577	126646	26512
578	126857	26291
579	127085	26074
580	127313	25857
581	127531	25637
582	127755	25419
583	127969	25199
584	128176	24977
585	128390	24757
586	128606	24538
587	128815	24317
588	129021	24095
589	129226	23874
590	129426	23651
591	129625	23428
592	129810	23203
593	130001	22980
594	130230	22762
595	130436	22541
596	130667	22325
597	130863	22102
598	131062	21880
599	131263	21658
600	131476	21438
601	131706	21221
602	131905	20999
603	132101	20777
604	132313	20557
605	132509	20335
606	132717	20115
607	132908	19892
608	133121	19673
609	133295	19448
610	133484	19225
611	133743	19012
612	133967	18794
613	134172	18574
614	134404	18357
615	134644	18142
616	134846	17921
617	135042	17699
618	135235	17477
619	135442	17257
620	135671	17040
621	135875	16820
622	136065	16598
623	136300	16382
624	136518	16163
625	136724	15943
626	136920	15722
627	137115	15501
628	137323	15282
629	137513	15060
630	137732	14842
631	137949	14624
632	138155	14404
633	138364	14185
634	138582	13967
635	138801	13749
636	139001	13529
637	139215	13310
638	139424	13091
639	139626	12871
640	139818	12651
641	140015	12431
642	140205	12210
643	140409	11991
644	140621	11772
645	140818	11553
646	141023	11334
647	141229	11115
648	141427	10895
649	141633	10676
650	141829	10457
651	142020	10237
652	142215	10018
653	142417	9799
654	142605	9579
655	142816	9361
656	143006	9141
657	143214	8923
658	143406	8704
659	143605	8485
660	143801	8266
661	144003	8048
662	144209	7830
663	144417	7612
664	144634	7394
665	144816	7175
666	145023	6957
667	145169	6736
668	145377	6519
669	145586	6301
670	145785	6083
671	145997	5865
672	146192	5647
673	146408	5430
674	146617	5213
675	146823	4995
676	147052	4778
677	147255	4561
678	147466	4343
679	147646	4125
680	147857	3908
681	148063	3690
682	148270	3473
683	148429	3255
684	148600	3037
685	148837	2820
686	148994	2602
687	149154	2384
688	149311	2167
689	149466	1949
690	149680	1732
691	149887	1516
692	150090	1299
693	150275	1082
694	150455	865
695	150648	649
696	150854	432
697	151063	216
698	151262	0
